-- From saballistics 
-- GNU GPLv2
-- https://github.com/topgenorth/saballistics
 
 D (in)    Description                  Weight (grs)   B.C. 
============================================================
 0.172     Berger MEF                       18        0.100
 0.172     Berger MEF                       20        0.100
 0.172     Berger MEF                       22        0.122
 0.172     Berger Flat-Base HP              25        0.211
 0.172     Berger MEF                       25        0.138
 0.172     Hornady HP                       25        0.187
 0.172     Berger Flat-Base HP              30        0.183
 0.172     Berger VLD                       37        0.343
 0.222     Hornady JET                      40        0.104
 0.222     Winchester .22 LRN               40        0.150
 0.223     Sierra Hornet                    40        0.123
 0.223     Speer Spire Point                40        0.145
 0.223     Hornady Hornet                   45        0.202
 0.223     Sierra Hornet                    45        0.138
 0.223     Speer Spitzer SP                 45        0.166
 0.224     Hornady V-MAX                    40        0.200
 0.224     Nosler Ballistic Tip             40        0.221
 0.224     Sierra Hollow Point              40        0.155
 0.224     Sierra Hornet                    40        0.122
 0.224     Speer Spire Point                40        0.144
 0.224     HT                               42        0.234
 0.224     Barnes "X" BT                    45        0.203
 0.224     Barnes Solid                     45        0.212
 0.224     Hornady HP/BEE                   45        0.108
 0.224     Hornady Hornet                   45        0.202
 0.224     Nosler Hornet B.Tip              45        0.144
 0.224     Sierra Hornet                    45        0.137
 0.224     Sierra Semi-Pointed              45        0.168
 0.224     Sierra Spitzer                   45        0.196
 0.224     Speer Spitzer SP                 45        0.167
 0.224     Speer Flat SP                    46        0.094
 0.224     Barnes Solid                     50        0.235
 0.224     Hornady SP                       50        0.214
 0.224     Hornady SPSX                     50        0.214
 0.224     Hornady V-MAX                    50        0.242
 0.224     Norma Semi-spitzer FMJ           50        0.190
 0.224     Norma Semi-spitzer SP            50        0.180
 0.224     Nosler Ballistic Tip             50        0.238
 0.224     Sierra Blitz                     50        0.222
 0.224     Sierra Semi-Pointed              50        0.192
 0.224     Sierra Spitzer                   50        0.222
 0.224     Speer "TNT" HP                   50        0.223
 0.224     Speer Spitzer SP                 50        0.231
 0.224     Hornady BTHP Match               52        0.229
 0.224     Sierra HPBT MatchKing            52        0.218
 0.224     Speer HP                         52        0.225
 0.224     Speer HP BT Match                52        0.253
 0.224     Barnes "X"                       53        0.231
 0.224     Hornady HP Match                 53        0.218
 0.224     Norma Spire SP                   53        0.230
 0.224     Sierra HP MatchKing              53        0.224
 0.224     Hornady FMJ-BT w/c               55        0.243
 0.224     Hornady SP                       55        0.235
 0.224     Hornady SP w/c                   55        0.235
 0.224     Hornady SPSX                     55        0.235
 0.224     Hornady V-MAX                    55        0.252
 0.224     Lapua E372 SP                    55        0.202
 0.224     Lapua S350 FMJ                   55        0.251
 0.224     Nosler Ballistic Tip             55        0.276
 0.224     Sierra Blitz                     55        0.237
 0.224     Sierra FMJ Boat Tail             55        0.245
 0.224     Sierra HPBT                      55        0.185
 0.224     Sierra Semi-pointed              55        0.204
 0.224     Sierra Spitzer                   55        0.237
 0.224     Sierra Spitzer Boat Tail         55        0.245
 0.224     Speer FMJ BT                     55        0.269
 0.224     Speer Spitzer SP                 55        0.255
 0.224     Hornady HP                       60        0.271
 0.224     Hornady SP                       60        0.264
 0.224     Hornady V-MAX                    60        0.256
